ID	Elev	Demand
1	60	5.55
2	60	5.55
3	58.9	5.55
4	60	5.55
5	59.3	5.55
6	60	5.55
7	60	5.55
8	60	5.55
9	60	5.55
10	56.7	5.55
11	57.3	5.55
12	57.1	5.55
13	56.5	5.55
14	55.2	5.55
15	57.8	5.55
16	55.2	5.55
17	55	5.55
18	54	5.55
19	52.2	5.55
20	51.1	5.55
21	49.4	5.55
22	49.3	5.55
23	56.5	5.55
24	55	5.55
25	52.3	5.55
26	50.2	5.55
27	55	5.55
28	57	5.55
29	52.4	5.55
30	46.6	5.55
31	28.8	5.55
32	60	5.55
33	43.3	5.55
34	25	5.55
35	23.6	5.55
36	42.5	5.55
37	50	5.55
38	38.3	5.55
39	36.8	5.55
40	27	5.55
41	24	5.55
42	55.5	5.55
43	56.5	5.55
44	55	5.55
45	50	5.55
46	46.2	5.55
47	48.6	5.55
48	47.6	5.55
49	47.1	5.55
50	47.9	5.55
51	46	5.55
52	45.6	5.55
53	50	5.55
54	50	5.55
55	47.5	5.55
56	45	5.55
57	46	5.55
58	55.8	5.55
59	54.5	5.55
60	51.5	5.55
61	52.4	5.55
62	53.1	5.55
63	51.2	5.55
64	52.8	5.55
65	51.4	5.55
66	46	5.55
67	45	5.55
68	50	5.55
69	51.7	5.55
70	51.4	5.55
71	40	5.55
72	32.9	5.55
73	34	5.55
74	31.4	5.55
75	34.2	5.55
76	40	5.55
77	46	5.55
78	34	5.55
79	41.6	5.55
80	34	5.55
81	30	5.55
82	21	5.55
83	11	5.55
84	5	5.55
85	3.5	5.55
86	33	5.55
87	45	5.55
88	29	5.55
89	19	5.55
90	9	5.55
91	4.5	5.55
92	3.3	5.55
93	1.2	5.55
94	12.3	5.55
95	9.3	5.55
96	8.16	5.55
97	8.8	5.55
98	8.1	5.55
99	7.4	5.55
100	12.9	5.55
101	4.8	5.55
102	3	5.55
103	14.5	5.55
104	4.1	5.55
105	31	5.55
106	33	5.55
107	20	5.55
108	4.4	5.55
109	13.1	5.55
110	7.1	5.55
111	1.6	5.55
112	15	5.55
113	5.9	5.55
114	3.5	5.55
115	31	5.55
116	30	5.55
117	13	5.55
118	10	5.55
119	6.3	5.55
120	6	5.55
121	42.5	5.55
122	45	5.55
123	47	5.55
124	20	5.55
125	7.1	5.55
126	4.4	5.55
127	4.6	5.55
128	32.2	5.55
129	22.5	5.55
130	9.2	5.55
131	5.65	5.55
132	31.2	5.55
133	12.3	5.55
134	7.5	5.55
135	5.2	5.55
136	40.3	5.55
137	41.4	5.55
138	40.2	5.55
139	45	5.55
140	44.4	5.55
141	44.8	5.55
142	45.8	5.55
143	46.6	5.55
144	46.9	5.55
145	40	5.55
146	50	5.55
147	50	5.55
148	49.3	5.55
149	47.3	5.55
150	49.5	5.55
151	47	5.55
152	47.4	5.55
153	32.5	5.55
154	40	5.55
155	52.8	5.55
156	75	5.55
157	60	5.55
158	50	5.55
159	52.3	5.55
160	51.7	5.55
161	52	5.55
162	50.8	5.55
163	54.5	5.55
164	50.1	5.55
165	49.5	5.55
166	50.7	5.55
167	74	5.55
168	62.7	5.55
169	62	5.55
170	57.25	5.55
171	95	5.55
172	94.2	5.55
173	92.9	5.55
174	91.4	5.55
175	90.8	5.55
176	65	5.55
177	84.2	5.55
178	80.6	5.55
179	76.8	5.55
180	70	5.55
181	70	5.55
182	73.8	5.55
183	95	5.55
184	94	5.55
185	92.7	5.55
186	90	5.55
187	89.6	5.55
188	87.17	5.55
189	84.2	5.55
190	80.5	5.55
191	72.5	5.55
192	65	5.55
193	95	5.55
194	95	5.55
195	95	5.55
196	85	5.55
197	65	5.55
198	71.5	5.55
199	76	5.55
200	83	5.55
201	81.3	5.55
202	83	5.55
203	86.3	5.55
204	95	5.55
205	95	5.55
206	94.2	5.55
207	90.5	5.55
208	95	5.55
209	95	5.55
210	75.5	5.55
211	83.3	5.55
212	87.8	5.55
213	83.6	5.55
214	78.1	5.55
215	83.5	5.55
216	87.7	5.55
217	85.7	5.55
218	95	5.55
219	94.1	5.55
220	95	5.55
221	90.8	5.55
222	85	5.55
223	93	5.55
224	71.4	5.55
225	84.2	5.55
226	95	5.55
227	91.8	5.55
228	90	5.55
229	95	5.55
230	95.6	5.55
231	95	5.55
232	73.3	5.55
233	72	5.55
234	71	5.55
235	70	5.55
236	77.8	5.55
237	65.5	5.55
238	66	5.55
239	71	5.55
240	70	5.55
241	65	5.55
242	66	5.55
243	72.4	5.55
244	73.7	5.55
245	35	5.55
246	40	5.55
247	46	5.55
248	45	5.55
249	45	5.55
250	40	5.55
251	45.6	5.55
252	45.7	5.55
253	48.4	5.55
254	50	5.55
255	52	5.55
256	55	5.55
257	60	5.55
258	51.7	5.55
259	48.5	5.55
260	47.6	5.55
261	49	5.55
262	51.4	5.55
263	55	5.55
264	71	5.55
265	68	5.55
266	66.8	5.55
267	60	5.55
268	67.2	5.55
269	71.4	5.55
270	73.6	5.55
271	75	5.55
272	73.4	5.55
273	70	5.55
274	70.5	5.55
275	71	5.55
276	74.4	5.55
277	71.6	5.55
278	75.3	5.55
279	76.4	5.55
280	76	5.55
281	75.8	5.55
282	82.6	5.55
283	83.5	5.55
284	83.3	5.55
285	81.5	5.55
286	84	5.55
287	87	5.55
288	83.9	5.55
289	85	5.55
290	98.1	5.55
291	99.8	5.55
292	101.1	5.55
293	103	5.55
294	103	5.55
295	104	5.55
296	103	5.55
297	102	5.55
298	100	5.55
299	100	5.55
300	4.8	5.55
301	46.9	5.55
302	47.5	5.55
303	11	5.55
304	3.2	5.55
305	8	5.55
306	50	5.55
307	50	5.55
308	51	5.55
309	54.8	5.55
310	54.8	5.55
311	50	5.55
312	4	5.55
313	47.4	5.55
314	44	5.55
315	75.2	5.55
316	75	5.55
317	53.4	5.55
318	58	5.55
319	59.8	5.55
320	59.2	5.55
321	75	5.55
322	79.7	5.55
323	80	5.55
324	80.5	5.55
325	80.6	5.55
326	80.7	5.55
327	79.5	5.55
328	79.4	5.55
329	80	5.55
330	80.5	5.55
331	75.7	5.55
332	76.5	5.55
333	77	5.55
334	77.7	5.55
335	75.3	5.55
336	80.2	5.55
337	80	5.55
338	75.7	5.55
339	75	5.55
340	80	5.55
341	84.36	5.55
342	81.1	5.55
343	83.54	5.55
344	83.6	5.55
345	83	5.55
346	82.5	5.55
347	78.8	5.55
348	78.8	5.55
349	82.8	5.55
350	82.2	5.55
351	80.2	5.55
352	81.6	5.55
353	86	5.55
354	88.6	5.55
355	90	5.55
356	89.7	5.55
357	89.7	5.55
358	87	5.55
359	86.7	5.55
360	85	5.55
361	84.5	5.55
362	84.4	5.55
363	84.1	5.55
364	83.1	5.55
