ID	Node1	Node2	Length	Diameter	Roughness	MinorLoss
1	22	21	65	100	0.0025	0
2	21	20	260	100	0.0025	0
3	20	19	164	125	0.0025	0
4	19	18	250	250	0.0025	0
5	18	17	100	200	0.0025	0
6	17	16	68	200	0.0025	0
7	16	14	164	200	0.0025	0
8	14	15	164	100	0.0025	0
9	14	10	65	200	0.0025	0
10	10	11	98	100	0.0025	0
11	11	12	145	100	0.0025	0
12	10	9	96	200	0.0025	0
13	9	6	181	150	0.0025	0
14	6	7	92	100	0.0025	0
15	7	8	100	100	0.0025	0
16	6	5	177	150	0.0025	0
17	5	2	159	150	0.0025	0
18	5	4	155	125	0.0025	0
19	2	1	168	125	0.0025	0
20	2	3	103	100	0.0025	0
21	12	13	113	100	0.0025	0
22	19	23	850	300	0.0025	0
23	24	25	149	125	0.0025	0
24	25	26	175	100	0.0025	0
25	439	28	500	300	0.0025	0
26	29	27	134	100	0.0025	0
27	28	29	164	125	0.0025	0
28	29	30	137	100	0.0025	0
29	30	31	223	80	0.0025	0
30	28	32	394	300	0.0025	0
31	32	33	191	125	0.0025	0
32	33	34	440	80	0.0025	0
33	33	35	459	80	0.0025	0
34	33	36	184	100	0.0025	0
35	37	38	300	125	0.0025	0
36	38	39	116	125	0.0025	0
37	39	40	198	125	0.0025	0
38	37	41	510	80	0.0025	0
39	37	42	127	200	0.0025	0
40	42	43	189	200	0.0025	0
41	43	44	95	200	0.0025	0
42	19	45	250	350	0.0025	0
43	45	46	375	350	0.0025	0
44	46	47	100	175	0.0025	0
45	47	48	231	175	0.0025	0
46	48	49	61	80	0.0025	0
47	48	52	282	125	0.0025	0
48	52	50	88	125	0.0025	0
49	50	51	134	80	0.0025	0
50	53	54	40	125	0.0025	0
51	54	55	189	125	0.0025	0
52	57	56	225	80	0.0025	0
53	55	57	201	100	0.0025	0
54	18	58	66	200	0.0025	0
55	58	59	78	200	0.0025	0
56	59	62	197	200	0.0025	0
57	62	63	197	100	0.0025	0
58	59	60	177	100	0.0025	0
59	60	61	85	80	0.0025	0
60	62	64	222	200	0.0025	0
61	64	65	288	125	0.0025	0
62	65	66	130	100	0.0025	0
63	66	67	127	80	0.0025	0
64	64	68	96	200	0.0025	0
65	68	69	110	100	0.0025	0
66	69	70	205	80	0.0025	0
67	68	71	176	200	0.0025	0
68	71	121	300	200	0.0025	0
69	121	72	500	400	0.0025	0
70	72	73	119	400	0.0025	0
71	73	74	228	300	0.0025	0
72	74	75	295	300	0.0025	0
73	75	76	191	100	0.0025	0
74	76	77	129	80	0.0025	0
75	75	78	152	250	0.0025	0
76	78	79	115	80	0.0025	0
77	78	80	444	250	0.0025	0
78	81	82	580	175	0.0025	0
79	82	83	350	100	0.0025	0
80	83	84	209	80	0.0025	0
81	83	85	212	80	0.0025	0
82	37	86	455	150	0.0025	0
83	86	88	250	125	0.0025	0
84	88	87	168	80	0.0025	0
85	88	89	145	80	0.0025	0
86	90	91	172	100	0.0025	0
87	91	92	110	100	0.0025	0
88	92	93	250	80	0.0025	0
89	94	95	148	150	0.0025	0
90	95	96	123	100	0.0025	0
91	95	97	139	125	0.0025	0
92	97	98	210	100	0.0025	0
93	81	100	159	100	0.0025	0
94	100	101	144	80	0.0025	0
95	101	102	148	80	0.0025	0
96	105	103	161	100	0.0025	0
97	103	104	267	80	0.0025	0
98	81	105	320	300	0.0025	0
99	105	106	444	300	0.0025	0
100	106	107	184	100	0.0025	0
101	107	108	322	80	0.0025	0
102	106	109	228	100	0.0025	0
103	109	110	129	80	0.0025	0
104	110	111	254	80	0.0025	0
105	115	112	224	125	0.0025	0
106	112	113	202	100	0.0025	0
107	113	114	162	80	0.0025	0
108	437	115	435	400	0.0025	0
109	115	116	488	400	0.0025	0
110	116	117	179	150	0.0025	0
111	117	118	137	100	0.0025	0
112	118	119	160	100	0.0025	0
113	117	120	168	100	0.0025	0
114	116	124	350	400	0.0025	0
115	124	125	246	125	0.0025	0
116	125	127	100	80	0.0025	0
117	121	122	750	400	0.0025	0
118	122	123	250	400	0.0025	0
119	124	129	250	400	0.0025	0
120	128	129	200	300	0.0025	0
121	129	130	273	125	0.0025	0
122	130	131	205	100	0.0025	0
123	122	128	200	300	0.0025	0
124	128	132	312	300	0.0025	0
125	132	133	308	300	0.0025	0
126	133	134	40	300	0.0025	0
127	138	139	346	400	0.0025	0
128	139	140	334	150	0.0025	0
129	140	141	73	100	0.0025	0
130	141	142	114	80	0.0025	0
131	142	143	93	80	0.0025	0
132	145	146	161	100	0.0025	0
133	53	150	221	400	0.0025	0
134	150	147	150	400	0.0025	0
135	147	148	254	100	0.0025	0
136	148	149	160	150	0.0025	0
137	139	151	400	400	0.0025	0
138	139	152	66	80	0.0025	0
139	153	154	127	100	0.0025	0
140	158	159	105	100	0.0025	0
141	159	160	187	150	0.0025	0
142	160	161	86	100	0.0025	0
143	161	162	126	80	0.0025	0
144	160	163	250	125	0.0025	0
145	163	164	116	125	0.0025	0
146	164	165	269	100	0.0025	0
147	165	166	42	80	0.0025	0
148	157	167	329	200	0.0025	0
149	167	168	145	100	0.0025	0
150	168	169	56	100	0.0025	0
151	168	170	171	100	0.0025	0
152	167	172	236	250	0.0025	0
153	156	440	264	500	0.0025	0
154	172	173	108	150	0.0025	0
155	173	174	125	200	0.0025	0
156	173	175	190	100	0.0025	0
157	175	176	269	100	0.0025	0
158	174	177	227	200	0.0025	0
159	177	178	110	200	0.0025	0
160	178	179	110	200	0.0025	0
161	179	182	140	200	0.0025	0
162	179	180	284	100	0.0025	0
163	180	181	298	100	0.0025	0
164	172	171	200	250	0.0025	0
165	171	183	150	250	0.0025	0
166	183	184	193	250	0.0025	0
167	192	191	73	125	0.0025	0
168	191	190	156	125	0.0025	0
169	190	189	132	100	0.0025	0
170	189	188	106	100	0.0025	0
171	184	185	160	125	0.0025	0
172	185	186	225	125	0.0025	0
173	186	187	93	100	0.0025	0
174	184	195	325	300	0.0025	0
