ID	Node1	Node2	Length	Diameter	Roughness	MinorLoss
1	2	20	200	250	0.5	0
2	20	3	200	250	0.5	0
3	2	4	200	250	0.5	0
4	1	10	40	250	0.5	0
5	4	10	200	250	0.5	0
6	11	12	200	250	0.5	0
7	12	13	200	250	0.5	0
8	13	8	200	250	0.5	0
9	8	7	50	250	0.5	0
10	8	5	200	250	0.5	0
11	5	2	200	250	0.5	0
12	3	6	200	250	0.5	0
13	6	9	200	250	0.5	0
14	9	15	200	250	0.5	0
15	15	17	200	250	0.5	0
16	17	18	20	100	0.5	0
17	18	19	200	250	0.5	0
18	19	14	200	250	0.5	0
19	14	9	30	250	0.5	0
20	6	16	200	250	0.5	0
21	12	7	200	250	0.5	0
22	1	2	200	250	0.5	0
23	1	4	200	250	0.5	0
24	7	13	200	250	0.5	0
25	15	19	200	250	0.5	0
